순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
161,허정협,넥센,좌익수,4,1,13,0,0,2,0,0,1,0,0,0,-
161,김동욱,KT,좌익수,4,0,7,0,0,2,0,0,1,0,0,0,-
161,김동욱,KT,우익수,4,2,17 1/3,0,0,2,0,0,1,0,0,0,-
161,김진곤,KT,중견수,4,0,6,0,0,2,0,0,1,0,0,0,-
168,이명기,KIA,중견수,3,0,3 1/3,0,0,0,0,0,-,0,0,0,-
168,백민기,두산,중견수,3,1,15,0,0,5,0,0,1,0,0,0,-
168,허일,롯데,우익수,3,2,14,0,0,1,0,0,1,0,0,0,-
168,강진성,NC,중견수,3,2,15,0,0,3,0,0,1,0,0,0,-
168,이원재,NC,우익수,3,1,12,0,0,0,0,0,-,0,0,0,-
168,로맥,SK,우익수,3,1,12 1/3,0,0,2,0,0,1,0,0,0,-
168,문성주,LG,중견수,3,0,4,0,0,2,0,0,1,0,0,0,-
168,정주현,LG,좌익수,3,0,4,0,0,1,0,0,1,0,0,0,-
168,강상원,한화,좌익수,3,1,9,0,0,1,0,0,1,0,0,0,-
168,박찬도,삼성,좌익수,3,0,3,0,0,0,0,0,-,0,0,0,-
168,이성곤,삼성,우익수,3,1,13,0,0,3,0,0,1,0,0,0,-
168,김진곤,KT,좌익수,3,1,11,0,0,1,0,0,1,0,0,0,-
168,오준혁,KT,중견수,3,2,17,0,0,4,0,0,1,0,0,0,-
181,유민상,KIA,좌익수,2,1,8,0,0,1,0,0,1,0,0,0,-
181,이영욱,KIA,좌익수,2,1,9,0,0,1,0,0,1,0,0,0,-
181,최정민,KIA,좌익수,2,0,2,0,0,1,0,0,1,0,0,0,-
181,국해성,두산,좌익수,2,0,4,0,0,1,0,0,1,0,0,0,-
181,김문호,롯데,중견수,2,2,14,0,0,1,0,0,1,0,0,0,-
181,김문호,롯데,우익수,2,0,4,0,0,1,0,0,1,0,0,0,-
181,민병헌,롯데,좌익수,2,0,2,0,0,0,0,0,-,0,0,0,-
181,정훈,롯데,우익수,2,0,2,0,0,0,0,0,-,0,0,0,-
181,허일,롯데,좌익수,2,0,3,0,0,1,0,0,1,0,0,0,-
181,문선재,LG,좌익수,2,2,15,0,0,5,0,0,1,0,0,0,-
181,김규민,넥센,우익수,2,0,10,0,0,3,0,0,1,0,0,0,-
181,예진원,넥센,중견수,2,1,11 1/3,0,0,3,0,0,1,0,0,0,-
181,홍성갑,넥센,좌익수,2,1,16,0,0,2,0,0,1,0,0,0,-
181,강상원,한화,중견수,2,0,4,0,0,2,0,0,1,0,0,0,-
181,강상원,한화,우익수,2,1,10,0,0,10,0,0,1,0,0,0,-
181,박준혁,한화,우익수,2,1,8,0,0,2,1,1,1,0,0,0,-
181,이성열,한화,우익수,2,0,4,0,0,0,0,0,-,0,0,0,-
181,배영섭,삼성,중견수,2,0,2,0,0,0,0,0,-,0,0,0,-
181,송준석,삼성,좌익수,2,0,4,0,0,1,0,0,1,0,0,0,-
181,송민섭,KT,중견수,2,0,4,0,0,0,0,0,-,0,0,0,-
